Degree_Level,Country_Aiming,Exam_Type,IELTS,TOEFL,PTE,DET,GRE,CGPA,SOP,LOR,Research,Work_Experience_Years,Program_Competitiveness,Chance_of_Admit
Masters,New Zealand,GRE,0.0,0,0,0,321,7.5,4.8,3.9,0,4,3,0.61
Masters,France,TOEFL,0.0,90,0,0,0,6.62,1.6,1.2,1,3,2,0.59
Undergraduate,Germany,TOEFL,0.0,105,0,0,0,8.4,3.8,1.1,0,2,3,0.58
Masters,Sweden,DET,0.0,0,0,152,0,9.33,1.8,1.7,1,0,5,0.63
Undergraduate,Switzerland,IELTS,6.9,0,0,0,0,8.1,2.7,2.2,1,0,2,0.64
PhD,France,IELTS,6.4,0,0,0,0,7.17,2.5,2.8,1,1,5,0.67
Undergraduate,Switzerland,IELTS,6.6,0,0,0,0,8.06,3.4,1.2,0,0,3,0.5
Masters,Netherlands,TOEFL,0.0,88,0,0,0,6.68,1.3,4.8,1,1,5,0.68
PhD,Switzerland,TOEFL,0.0,90,0,0,0,9.23,2.2,1.4,1,0,1,0.65
Undergraduate,New Zealand,TOEFL,0.0,91,0,0,0,7.76,1.5,3.0,0,4,1,0.43
Masters,Sweden,GRE,0.0,0,0,0,337,9.64,2.0,3.7,1,3,4,0.72
Masters,Singapore,GRE,0.0,0,0,0,308,8.08,3.2,1.7,0,8,1,0.6
Masters,Australia,IELTS,8.3,0,0,0,0,9.76,4.6,3.4,1,7,2,0.88
Masters,New Zealand,PTE,0.0,0,81,0,0,6.35,1.8,1.2,0,2,3,0.38
PhD,Singapore,PTE,0.0,0,56,0,0,7.55,2.1,4.3,0,3,3,0.51
Undergraduate,Netherlands,PTE,0.0,0,71,0,0,7.12,3.2,1.6,1,5,3,0.69
PhD,Sweden,IELTS,6.2,0,0,0,0,9.95,4.1,1.8,1,2,4,0.72
Undergraduate,Ireland,PTE,0.0,0,67,0,0,9.26,3.8,3.9,1,7,5,0.86
Undergraduate,New Zealand,PTE,0.0,0,51,0,0,6.3,2.4,1.5,1,9,2,0.67
Masters,Canada,GRE,0.0,0,0,0,290,8.49,2.3,1.3,0,5,5,0.52
Masters,Australia,GRE,0.0,0,0,0,319,7.3,3.9,3.6,1,8,1,0.77
Masters,Australia,PTE,0.0,0,70,0,0,7.89,1.5,3.9,1,4,1,0.68
PhD,Ireland,DET,0.0,0,0,141,0,8.25,4.1,3.0,0,10,5,0.67
Undergraduate,UK,DET,0.0,0,0,140,0,7.71,1.1,1.4,0,10,3,0.46
Undergraduate,Ireland,IELTS,7.9,0,0,0,0,7.26,3.0,4.6,1,9,2,0.72
Undergraduate,UK,GRE,0.0,0,0,0,316,7.64,4.0,1.9,1,9,1,0.68
Undergraduate,New Zealand,IELTS,6.9,0,0,0,0,6.64,4.7,4.2,1,7,2,0.76
Undergraduate,Netherlands,TOEFL,0.0,115,0,0,0,9.49,4.2,1.7,1,7,4,0.84
PhD,Ireland,GRE,0.0,0,0,0,337,8.16,4.2,4.6,1,1,1,0.71
PhD,Sweden,GRE,0.0,0,0,0,291,6.44,1.9,2.7,0,7,2,0.51
Masters,New Zealand,IELTS,8.6,0,0,0,0,6.03,3.0,2.7,0,0,4,0.42
Undergraduate,USA,DET,0.0,0,0,127,0,6.48,2.4,4.8,0,6,1,0.5
Undergraduate,Ireland,IELTS,7.6,0,0,0,0,8.81,2.5,4.9,0,1,3,0.62
Undergraduate,Germany,PTE,0.0,0,51,0,0,7.01,3.0,2.2,1,9,1,0.66
Masters,USA,DET,0.0,0,0,92,0,6.15,3.4,3.0,0,8,1,0.47
Undergraduate,Switzerland,TOEFL,0.0,93,0,0,0,7.11,4.6,2.0,0,3,5,0.52
PhD,Singapore,DET,0.0,0,0,103,0,7.96,4.9,2.0,1,7,3,0.78
Undergraduate,Sweden,DET,0.0,0,0,129,0,9.05,2.0,3.9,0,3,4,0.56
PhD,Australia,GRE,0.0,0,0,0,316,8.53,3.5,3.1,0,6,4,0.57
PhD,Singapore,GRE,0.0,0,0,0,292,9.34,2.3,1.7,1,3,2,0.63
PhD,Singapore,DET,0.0,0,0,131,0,8.36,3.7,1.1,0,0,3,0.51
PhD,USA,GRE,0.0,0,0,0,333,6.91,3.6,1.7,0,9,2,0.56
Undergraduate,France,PTE,0.0,0,59,0,0,7.55,4.7,1.6,1,7,5,0.74
PhD,Australia,PTE,0.0,0,65,0,0,6.45,4.7,4.5,1,6,5,0.74
Masters,Ireland,IELTS,8.0,0,0,0,0,9.27,3.2,3.1,1,1,5,0.72
PhD,Singapore,IELTS,6.3,0,0,0,0,9.59,4.6,3.5,1,8,5,0.86
PhD,Netherlands,DET,0.0,0,0,116,0,7.4,3.9,4.6,0,10,1,0.67
Masters,Switzerland,DET,0.0,0,0,127,0,9.12,3.6,1.3,1,9,3,0.74
Undergraduate,Germany,TOEFL,0.0,95,0,0,0,9.59,3.4,1.0,1,6,4,0.72
PhD,Australia,GRE,0.0,0,0,0,338,8.65,1.0,1.6,0,8,1,0.51
Undergraduate,Ireland,GRE,0.0,0,0,0,300,8.77,3.6,1.9,0,1,2,0.55
Masters,Germany,GRE,0.0,0,0,0,310,6.95,2.3,4.0,1,4,5,0.7
PhD,France,GRE,0.0,0,0,0,322,9.4,3.6,3.3,0,7,2,0.6
PhD,UK,GRE,0.0,0,0,0,297,7.47,2.1,2.0,1,0,2,0.63
Undergraduate,France,GRE,0.0,0,0,0,302,7.57,4.6,3.5,0,1,1,0.57
Masters,Ireland,IELTS,7.5,0,0,0,0,8.31,3.0,1.8,1,9,1,0.74
PhD,USA,TOEFL,0.0,90,0,0,0,7.12,1.1,3.6,0,9,2,0.48
Undergraduate,Switzerland,TOEFL,0.0,120,0,0,0,9.76,4.8,4.7,1,4,1,0.82
Undergraduate,Switzerland,DET,0.0,0,0,112,0,6.06,4.7,2.7,0,1,2,0.53
Masters,Ireland,TOEFL,0.0,81,0,0,0,9.85,4.4,2.2,0,4,5,0.65
PhD,Sweden,IELTS,8.6,0,0,0,0,7.27,1.7,3.2,1,2,4,0.67
Masters,France,DET,0.0,0,0,102,0,8.78,3.3,1.4,1,1,5,0.71
PhD,UK,IELTS,9.0,0,0,0,0,6.56,3.1,4.5,1,1,1,0.66
Masters,Australia,IELTS,8.1,0,0,0,0,8.81,2.4,2.2,1,1,2,0.69
Undergraduate,UK,TOEFL,0.0,119,0,0,0,9.24,4.5,4.7,1,0,3,0.78
Masters,Netherlands,PTE,0.0,0,72,0,0,8.01,4.2,3.6,1,10,4,0.84
Masters,Australia,GRE,0.0,0,0,0,291,9.18,4.6,2.4,1,8,3,0.8
Masters,Australia,DET,0.0,0,0,153,0,6.38,3.3,1.1,0,9,5,0.53
Undergraduate,Switzerland,GRE,0.0,0,0,0,311,8.17,2.1,3.4,0,8,5,0.55
Masters,UK,DET,0.0,0,0,124,0,6.15,4.3,2.4,0,6,1,0.47
Masters,Ireland,PTE,0.0,0,53,0,0,8.09,4.1,1.9,0,2,1,0.54
Undergraduate,France,IELTS,6.3,0,0,0,0,6.21,3.1,3.2,1,2,3,0.64
PhD,USA,TOEFL,0.0,105,0,0,0,8.9,4.9,3.1,0,6,3,0.64
Undergraduate,France,IELTS,8.4,0,0,0,0,7.08,2.8,1.3,1,1,5,0.57
PhD,Ireland,GRE,0.0,0,0,0,318,9.85,4.3,3.8,0,3,2,0.64
Masters,UK,DET,0.0,0,0,113,0,6.69,1.6,2.0,0,9,5,0.52
Undergraduate,USA,DET,0.0,0,0,160,0,8.86,3.6,2.1,1,1,3,0.75
Undergraduate,Canada,GRE,0.0,0,0,0,317,8.95,3.2,3.4,1,2,1,0.7
Masters,Switzerland,DET,0.0,0,0,104,0,6.99,2.4,4.0,1,7,5,0.67
Undergraduate,Switzerland,GRE,0.0,0,0,0,318,6.46,1.2,1.2,1,3,5,0.6
PhD,Canada,DET,0.0,0,0,117,0,8.81,2.9,1.4,1,9,1,0.72
Undergraduate,UK,GRE,0.0,0,0,0,340,7.89,1.7,2.7,0,6,3,0.51
Undergraduate,France,GRE,0.0,0,0,0,331,8.46,3.5,1.2,1,6,4,0.71
Undergraduate,Singapore,DET,0.0,0,0,112,0,8.5,3.0,4.4,1,10,4,0.83
PhD,Canada,PTE,0.0,0,55,0,0,6.65,1.3,3.6,1,8,1,0.59
Masters,France,GRE,0.0,0,0,0,320,8.34,4.8,3.3,0,1,5,0.6
PhD,Ireland,IELTS,7.9,0,0,0,0,7.83,3.2,4.8,1,3,4,0.72
PhD,Canada,GRE,0.0,0,0,0,291,9.84,4.6,1.8,1,8,4,0.8
PhD,Germany,PTE,0.0,0,83,0,0,6.4,1.1,1.4,0,9,1,0.45
Undergraduate,Netherlands,PTE,0.0,0,65,0,0,6.28,2.3,4.4,0,8,2,0.48
Undergraduate,New Zealand,DET,0.0,0,0,92,0,9.26,2.1,1.5,1,4,5,0.73
